,job,company,location,salary,description
28699,Data Scientist,        Novetta,"Crystal City, VA",,
28700,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28701,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28702,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28703,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28704,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28705,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28706,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28707,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28708,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28709,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28710,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28711,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28712,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28713,Data Scientist,    xometry,"Durham, NC",,
28714,Data Scientist,        Novetta,"Crystal City, VA",,
28715,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28716,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28717,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28718,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28719,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28720,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28721,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28722,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28723,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28724,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28725,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28726,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28727,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28728,Data Scientist,    xometry,"Durham, NC",,
28729,Data Scientist,        Novetta,"Crystal City, VA",,
28730,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28731,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28732,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28733,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
