,job,company,location,salary,description
28417,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28418,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28419,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28420,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28421,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28422,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28423,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28424,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28425,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28426,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28427,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28428,Data Scientist,    xometry,"Durham, NC",,
28429,Data Scientist,        Novetta,"Crystal City, VA",,
28430,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28431,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28432,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28433,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28434,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28435,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28436,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28437,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28438,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28439,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28440,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28441,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28442,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28443,Data Scientist,    xometry,"Durham, NC",,
28444,Data Scientist,        Novetta,"Crystal City, VA",,
28445,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28446,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28447,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28448,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28449,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28450,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
